bio_reference,species,sl,COUNT,nl
TBM1998031304,8836010102,24,1,30
TBM1998031304,8836010102,26,3,30
TBM1998031304,8836010102,27,6,30
TBM1998031304,8836010102,28,8,30
TBM1998031304,8836010102,29,1,30
TBM1998031304,8836010102,30,2,30
TBM1998031304,8836010102,32,1,30
TBM1998031304,8836010102,39,1,30
TBM1998031304,8860030201,59,1,1
TBM1998031304,8861030101,81,1,6
TBM1998031304,8861030101,85,1,6
TBM1998031304,8861030101,87,2,6
TBM1998031304,8861030101,88,1,6
TBM1998031304,8861030101,89,1,6
TBM1998031306,8804040301,28,1,1
TBM1998031306,8804040501,23,1,3
TBM1998031306,8804040501,34,1,3
TBM1998031306,8804040501,37,1,3
TBM1998031306,8805020300,27,1,13
TBM1998031306,8805020300,31,1,13
TBM1998031306,8805020300,47,2,13
TBM1998031306,8805020300,51,1,13
TBM1998031306,8805020300,52,1,13
TBM1998031306,8805020300,53,2,13
TBM1998031306,8805020300,55,1,13
TBM1998031306,8805020300,57,1,13
TBM1998031306,8805020300,60,2,13
TBM1998031306,8805020300,62,1,13
TBM1998031306,8820020113,66,1,1
TBM1998031306,8835430201,11,1,10
TBM1998031306,8835430201,13,1,10
TBM1998031306,8835430201,17,1,10
TBM1998031306,8835430201,18,3,10
TBM1998031306,8835430201,19,1,10
TBM1998031306,8835430201,20,2,10
TBM1998031306,8835430201,22,1,10
TBM1998031306,8835440401,17,3,16
TBM1998031306,8835440401,18,2,16
TBM1998031306,8835440401,19,1,16
TBM1998031306,8835440401,20,2,16
TBM1998031306,8835440401,21,2,16
TBM1998031306,8835440401,22,3,16
TBM1998031306,8835440401,24,1,16
TBM1998031306,8835440401,36,2,16
TBM1998031306,8847010600,19,1,2
TBM1998031306,8847010600,21,1,2
TBM1998031307,6189010301,44,1,1
TBM1998031307,8762020101,78,1,1
TBM1998031307,8820020113,75,1,1
TBM1998031307,8835430201,18,2,13
TBM1998031307,8835430201,19,2,13
TBM1998031307,8835430201,20,2,13
TBM1998031307,8835430201,21,1,13
TBM1998031307,8835430201,22,3,13
TBM1998031307,8835430201,23,1,13
TBM1998031307,8835430201,25,1,13
TBM1998031307,8835430201,43,1,13
TBM1998031307,8835440401,25,1,1
TBM1998031307,8836010101,24,1,1
TBM1998031308,8820020113,51,1,2
TBM1998031308,8820020113,97,1,2
TBM1998031308,8835440401,36,1,1
TBM1998031308,8836010101,22,1,1
TBM1998031309,8835430201,20,1,1
TBM1998031309,8835440401,20,1,3
TBM1998031309,8835440401,21,1,3
TBM1998031309,8835440401,23,1,3
TBM1998031604,8860030201,181,1,3
TBM1998031604,8860030201,190,1,3
TBM1998031604,8860030201,238,1,3
TBM1998031705,8835440401,23,1,1
TBM1998031705,8835440603,14,2,6
TBM1998031705,8835440603,19,2,6
TBM1998031705,8835440603,23,1,6
TBM1998031705,8835440603,25,1,6
TBM1998031705,8858030202,23,1,3
TBM1998031705,8858030202,27,1,3
TBM1998031705,8858030202,32,1,3
TBM1998031803,8762020101,48,1,1
TBM1998031803,8805020300,78,1,2
TBM1998031803,8805020300,88,1,2
TBM1998031803,8826020104,35,1,1
TBM1998031803,8835400201,19,1,4
TBM1998031803,8835400201,20,1,4
TBM1998031803,8835400201,22,1,4
TBM1998031803,8835400201,23,1,4
TBM1998031803,8835430201,15,1,11
TBM1998031803,8835430201,18,1,11
TBM1998031803,8835430201,20,1,11
TBM1998031803,8835430201,21,3,11
TBM1998031803,8835430201,23,2,11
TBM1998031803,8835430201,24,2,11
TBM1998031803,8835430201,25,1,11
TBM1998031803,8835440401,15,2,9
TBM1998031803,8835440401,16,1,9
TBM1998031803,8835440401,17,1,9
TBM1998031803,8835440401,19,2,9
TBM1998031803,8835440401,21,1,9
TBM1998031803,8835440401,24,2,9
TBM1998031803,8835440603,16,1,2
TBM1998031803,8835440603,25,1,2
TBM1998031803,8857030302,23,1,4
TBM1998031803,8857030302,34,1,4
TBM1998031803,8857030302,55,1,4
TBM1998031803,8857030302,58,1,4
TBM1998031808,8805020300,71,1,3
TBM1998031808,8805020300,85,1,3
TBM1998031808,8805020300,93,1,3
TBM1998031808,8826020103,42,1,1
TBM1998031808,8835400201,24,1,1
TBM1998031808,8835430201,14,1,10
TBM1998031808,8835430201,16,2,10
TBM1998031808,8835430201,17,1,10
TBM1998031808,8835430201,18,2,10
TBM1998031808,8835430201,21,2,10
TBM1998031808,8835430201,24,1,10
TBM1998031808,8835430201,25,1,10
TBM1998031808,8835440603,21,1,1
TBM1998031808,8857030302,10,1,9
TBM1998031808,8857030302,12,1,9
TBM1998031808,8857030302,23,1,9
TBM1998031808,8857030302,25,1,9
TBM1998031808,8857030302,27,1,9
TBM1998031808,8857030302,28,1,9
TBM1998031808,8857030302,35,1,9
TBM1998031808,8857030302,43,2,9
TBM1998031808,8858020101,26,1,1
TBM1998032301,8747020202,18,1,12
TBM1998032301,8747020202,19,1,12
TBM1998032301,8747020202,20,8,12
TBM1998032301,8747020202,22,2,12
TBM1998032301,8805020201,82,1,1
TBM1998032301,8820020113,62,1,2
TBM1998032301,8820020113,77,1,2
TBM1998032301,8857030302,15,1,1
TBM1998032402,8805020300,75,1,1
TBM1998032402,8835430201,21,1,1
TBM1998032403,8835430201,23,1,1
TBM1998032403,8835440401,21,1,2
TBM1998032403,8835440401,28,1,2
TBM1998032403,8861010208,45,1,1
TBM1998032404,8762020101,35,1,1
TBM1998032404,8835430201,13,2,10
TBM1998032404,8835430201,14,5,10
TBM1998032404,8835430201,15,2,10
TBM1998032404,8835430201,16,1,10
TBM1998032404,8847010600,15,1,3
TBM1998032404,8847010600,17,1,3
TBM1998032404,8847010600,18,1,3
TBM1998032404,8857030302,58,1,1
TBM1998040901,8747010400,22,1,4
TBM1998040901,8747010400,23,2,4
TBM1998040901,8747010400,25,1,4
TBM1998040901,8804040213,65,1,1
TBM1998040901,8804040501,42,1,4
TBM1998040901,8804040501,43,1,4
TBM1998040901,8804040501,45,1,4
TBM1998040901,8804040501,55,1,4
TBM1998040901,8805020300,26,1,16
TBM1998040901,8805020300,28,1,16
TBM1998040901,8805020300,33,1,16
TBM1998040901,8805020300,35,1,16
TBM1998040901,8805020300,38,1,16
TBM1998040901,8805020300,55,3,16
TBM1998040901,8805020300,60,1,16
TBM1998040901,8805020300,62,1,16
TBM1998040901,8805020300,71,1,16
TBM1998040901,8805020300,73,2,16
TBM1998040901,8805020300,74,1,16
TBM1998040901,8805020300,76,1,16
TBM1998040901,8805020300,78,1,16
TBM1998040901,8835430201,29,1,7
TBM1998040901,8835430201,31,2,7
TBM1998040901,8835430201,32,1,7
TBM1998040901,8835430201,33,1,7
TBM1998040901,8835430201,36,1,7
TBM1998040901,8835430201,38,1,7
TBM1998040901,8835440401,18,3,43
TBM1998040901,8835440401,21,1,43
TBM1998040901,8835440401,24,1,43
TBM1998040901,8835440401,27,2,43
TBM1998040901,8835440401,28,2,43
TBM1998040901,8835440401,29,1,43
TBM1998040901,8835440401,30,2,43
TBM1998040901,8835440401,31,1,43
TBM1998040901,8835440401,32,3,43
TBM1998040901,8835440401,33,3,43
TBM1998040901,8835440401,34,5,43
TBM1998040901,8835440401,35,2,43
TBM1998040901,8835440401,36,2,43
TBM1998040901,8835440401,37,1,43
TBM1998040901,8835440401,38,2,43
TBM1998040901,8835440401,41,2,43
TBM1998040901,8835440401,42,1,43
TBM1998040901,8835440401,43,2,43
TBM1998040901,8835440401,44,2,43
TBM1998040901,8835440401,45,2,43
TBM1998040901,8835440401,46,1,43
TBM1998040901,8835440401,48,1,43
TBM1998040901,8835440401,49,1,43
TBM1998040901,8835440801,12,2,4
TBM1998040901,8835440801,21,1,4
TBM1998040901,8835440801,24,1,4
TBM1998040901,8836010101,31,1,3
TBM1998040901,8836010101,32,1,3
TBM1998040901,8836010101,37,1,3
TBM1998040904,6189010301,46,1,1
TBM1998040904,8713050105,250,1,1
TBM1998040904,8747010400,30,1,16
TBM1998040904,8747010400,32,2,16
TBM1998040904,8747010400,33,2,16
TBM1998040904,8747010400,35,1,16
TBM1998040904,8747010400,36,1,16
TBM1998040904,8747010400,37,2,16
TBM1998040904,8747010400,38,1,16
TBM1998040904,8747010400,40,3,16
TBM1998040904,8747010400,42,1,16
TBM1998040904,8747010400,43,1,16
TBM1998040904,8747010400,45,1,16
TBM1998040904,8747020202,29,1,10
TBM1998040904,8747020202,31,1,10
TBM1998040904,8747020202,32,1,10
TBM1998040904,8747020202,39,1,10
TBM1998040904,8747020202,45,2,10
TBM1998040904,8747020202,53,1,10
TBM1998040904,8747020202,55,2,10
TBM1998040904,8747020202,57,1,10
TBM1998040904,8762020101,37,1,2
TBM1998040904,8762020101,45,1,2
TBM1998040904,8826020103,16,1,4
TBM1998040904,8826020103,18,2,4
TBM1998040904,8826020103,25,1,4
TBM1998040904,8835400201,20,1,1
TBM1998040904,8835430201,32,1,1
TBM1998040904,8835440401,15,1,19
TBM1998040904,8835440401,22,1,19
TBM1998040904,8835440401,26,1,19
TBM1998040904,8835440401,27,1,19
TBM1998040904,8835440401,30,1,19
TBM1998040904,8835440401,34,1,19
TBM1998040904,8835440401,36,1,19
TBM1998040904,8835440401,37,2,19
TBM1998040904,8835440401,39,1,19
TBM1998040904,8835440401,42,1,19
TBM1998040904,8835440401,50,1,19
TBM1998040904,8835440401,53,1,19
TBM1998040904,8835440401,54,3,19
TBM1998040904,8835440401,57,1,19
TBM1998040904,8835440401,58,1,19
TBM1998040904,8835440401,64,1,19
TBM1998040904,8835440601,24,2,6
TBM1998040904,8835440601,25,1,6
TBM1998040904,8835440601,26,1,6
TBM1998040904,8835440601,27,1,6
TBM1998040904,8835440601,28,1,6
TBM1998040904,8835440603,15,1,6
TBM1998040904,8835440603,21,1,6
TBM1998040904,8835440603,23,1,6
TBM1998040904,8835440603,27,1,6
TBM1998040904,8835440603,28,1,6
TBM1998040904,8835440603,38,1,6
TBM1998040904,8857030302,25,1,4
TBM1998040904,8857030302,29,1,4
TBM1998040904,8857030302,31,1,4
TBM1998040904,8857030302,45,1,4
TBM1998041302,6189010301,41,1,1
TBM1998041302,8826020103,14,2,5
TBM1998041302,8826020103,27,1,5
TBM1998041302,8826020103,31,1,5
TBM1998041302,8826020103,35,1,5
TBM1998041302,8835400201,17,1,3
TBM1998041302,8835400201,18,1,3
