NODCCODE,TSN,spp_code,Scientificname,Commonname,Manufactured_nodccode,Manufactured_tsn,spp_code_old
6189071700,99075,Platychirograpsus spp.,Platychirograpsus spp.,Saber Crab,0,0,Platychirograpsus spp.
6189071701,99076,Pla. spectabilis,Platychirograpsus spectabilis,Saber Crab,0,0,P. spectabilis
6191010000,99141,Squillidae spp.,Squillidae spp.,mantis shrimp,0,0,Squillidae spp.
6191010100,99142,Squilla spp.,Squilla spp.,Mantis Shrimp,0,0,Squilla spp.
6191010101,99143,Squ. empusa,Squilla empusa,Rough Mantis Shrimp,0,0,S. empusa
7815050300,553246,Guavina spp.,Guavina spp.,Guavinas,1,0,Guavina spp.
8111060000,166309,Antigoniidae spp.,Antigoniidae spp.,deepwater boarfishes,0,0,Caproidae spp.
8155040000,158018,Mellitidae spp.,Mellitidae spp.,Sand Dollars,0,0,Mellitidae spp.
8500010100,159689,Amphioxus spp.,Amphioxus spp.,Lancelet,0,0,Amphioxus spp.
8603010300,159721,Petromyzon spp.,Petromyzon spp.,sea lampreys,0,0,Petromyzon spp.
8603010301,159722,Pet. marinus,Petromyzon marinus,Sea Lamprey,0,0,P. marinus
8603010400,159723,Ichthyomyzon spp.,Ichthyomyzon spp.,lampreys,0,0,Ichthyomyzon spp.
8603010404,159727,Ich. gagei,Ichthyomyzon gagei,Southern Brook Lamprey,0,0,I. gagei
8705020000,159814,Hexanchidae spp.,Hexanchidae spp.,Cow Sharks,0,0,Hexanchidae spp.
8705020100,159818,Hexanchus spp.,Hexanchus spp.,sixgill sharks,0,0,Hexanchus spp.
8705020101,159819,Hex. griseus,Hexanchus griseus,Bluntnose Sixgill Shark,0,0,H. griseus
8705020102,159826,Hex. vitulus,Hexanchus vitulus,Atlantic Sixgill Shark,0,0,Hex. nakamurai
8705020300,159843,Heptranchias spp.,Heptranchias spp.,sevengill sharks,0,0,Heptranchias spp.
8705020301,159844,Hep. perlo,Heptranchias perlo,Sharpnose Sevengill Shark,0,0,H. perlo
8707000000,551500,Carcharhiniformes spp.,Carcharhiniformes spp.,Unidentified Ground Shark Species,1,1,Carcharhiniformes spp.
8707010000,159854,Rhincodontidae spp.,Rhincodontidae spp.,whale sharks,0,0,Rhincodontidae spp.
8707010100,159855,Rhincodon spp.,Rhincodon spp.,Whale sharks,0,0,Rhincodon spp.
8707010101,159857,Rhi. typus,Rhincodon typus,whale shark,0,0,R. typus
8707030000,159876,Carchariidae spp.,Carchariidae spp.,sand sharks,0,0,Odontaspididae spp.
8707030200,159885,Carcharias spp.,Carcharias spp.,sand sharks,0,0,Carcharias spp.
8707030202,159888,Car. taurus,Carcharias taurus,Sand Tiger,0,0,O. taurus
8707040000,159901,Lamnidae spp.,Lamnidae spp.,mackerel sharks,0,0,Lamnidae spp.
8707040100,159902,Carcharodon spp.,Carcharodon spp.,white sharks,0,0,Charcharodon spp.
8707040101,159903,Car. carcharias,Carcharodon carcharias,White Shark,0,0,C. carcharius
8707040300,159909,Lamna spp.,Lamna spp.,Porbeagles,0,0,Lamna spp.
8707040302,159911,Lam. nasus,Lamna nasus,Porbeagle,0,0,L. nasus
8707040400,159915,Alopias spp.,Alopias spp.,thresher sharks,0,0,Alopias spp.
8707040401,159916,Alo. vulpinus,Alopias vulpinus,Common Thresher Shark,0,0,A. vulpinus
8707040402,159921,Alo. superciliosus,Alopias superciliosus,Bigeye Thresher,0,0,A. superciliosus
8707040500,159923,Isurus spp.,Isurus spp.,Mako,0,0,Isurus spp.
8707040501,159924,Isu. oxyrinchus,Isurus oxyrinchus,Shortfin Mako,0,0,I. oxyrinchus
8707040502,159926,Isu. paucus,Isurus paucus,Longfin Mako,0,0,I. paucus
8707050000,159928,Alopiidae spp.,Alopiidae spp.,Thesher Sharks ,0,0,Alopiidae spp.
8707100000,159975,Ginglymostomatidae spp.,Ginglymostomatidae spp.,Nurse Sharks,0,0,Ginglymostomatidae spp.
8707100100,159976,Ginglymostoma spp.,Ginglymostoma spp.,nurse sharks,0,0,Ginglymostoma spp.
8707100101,159977,Gin. cirratum,Ginglymostoma cirratum,Nurse Shark,0,0,G. cirratum
8707120000,203351,Cetorhinidae spp.,Cetorhinidae spp.,Basking Shark,0,0,Cetorhinidae spp.
8707120100,159906,Cetorhinus spp.,Cetorhinus spp.,basking sharks,0,0,Cetorhinus spp.
8707120101,159907,Cet. maximus,Cetorhinus maximus,Basking Shark,0,0,C. maximus
8708010000,159985,Scyliorhinidae spp.,Scyliorhinidae spp.,cat sharks,0,0,Scyliorhinidae spp.
8708010300,160053,Scyliorhinus spp.,Scyliorhinus spp.,cat sharks,0,0,Scyliorhinus spp.
8708010304,160060,Scy. retifer,Scyliorhinus retifer,Chain Dogfish,0,0,S. retifer
8708020000,160178,Carcharhinidae spp.,Carcharhinidae spp.,requiem sharks,0,0,Carcharhinidae spp.
8708020200,160188,Galeocerdo spp.,Galeocerdo spp.,tiger sharks,0,0,Galeocerdo spp.
8708020201,160189,Gal. cuvier,Galeocerdo cuvier,Tiger Shark,0,0,G. cuvieri
8708020300,160199,Rhizoprionodon spp.,Rhizoprionodon spp.,sharpnose sharks,0,0,Rhizoprionodon spp.
8708020301,160200,Rhi. terraenovae,Rhizoprionodon terraenovae,Atlantic Sharpnose Shark,0,0,R. terraenovae
8708020303,160206,Rhi. porosus,Rhizoprionodon porosus,Caribbean Sharpnose Shark,0,0,R. porosus
8708020500,160267,Carcharhinus spp.,Carcharhinus spp.,requiem sharks,0,0,Carcharhinus spp.
8708020501,160268,Car. obscurus,Carcharhinus obscurus,Dusky Shark,0,0,C. obscurus
8708020502,160275,Car. leucas,Carcharhinus leucas,Bull Shark,0,0,C. leucas
8708020503,160289,Car. plumbeus,Carcharhinus plumbeus,Sandbar Shark,0,0,C. plumbeus
8708020504,160304,Car. acronotus,Carcharhinus acronotus,Blacknose Shark,0,0,C. acronotus
8708020505,160307,Car. altimus,Carcharhinus altimus,Bignose Shark,0,0,C. altimus
8708020506,160310,Car. falciformis,Carcharhinus falciformis,Silky Shark,0,0,C. falciformis
8708020507,160318,Car. limbatus,Carcharhinus limbatus,Blacktip Shark,0,0,C. limbatus
8708020508,160330,Car. longimanus,Carcharhinus longimanus,Oceanic Whitetip Shark,0,0,C. longimamus
8708020511,160336,Car. perezii,Carcharhinus perezii,Reef Shark,0,0,C. perezi
8708020512,160340,Car. porosus,Carcharhinus porosus,Smalltail Shark,0,0,C. porosus
8708020515,160345,Car. galapagensis,Carcharhinus galapagensis,Galapagos Shark,0,0,C. galapagensis
8708020530,160401,Car. brevipinna,Carcharhinus brevipinna,Spinner Shark,0,0,C. brevipinna
8708020531,160409,Car. isodon,Carcharhinus isodon,Finetooth Shark,0,0,C. isodon
8708020532,160413,Car. signatus,Carcharhinus signatus,Night Shark,0,0,C. signatus
8708020600,160423,Prionace spp.,Prionace spp.,blue sharks,0,0,Prionace spp.
8708020601,160424,Pri. glauca,Prionace glauca,Blue Shark,0,0,P. glauca
8708020800,160432,Negaprion spp.,Negaprion spp.,lemon sharks,0,0,Negaprion spp.
8708020801,160433,Neg. brevirostris,Negaprion brevirostris,Lemon Shark,0,0,N. brevirostris
8708030000,160497,Sphyrnidae spp.,Sphyrnidae spp.,hammerhead sharks,0,0,Sphyrnidae spp.
8708030100,160499,Sphyrna spp.,Sphyrna spp.,hammerhead sharks,0,0,Sphyrna spp.
8708030101,160502,Sph. tiburo,Sphyrna tiburo,Bonnethead,0,0,S. tiburo
8708030102,160505,Sph. zygaena,Sphyrna zygaena,Smooth Hammerhead,0,0,S. zygaena
8708030103,160508,Sph. lewini,Sphyrna lewini,Scalloped Hammerhead,0,0,S. lewini
8708030104,160515,Sph. mokarran,Sphyrna mokarran,Great Hammerhead,0,0,S. mokarran
8708030109,999998,Sph. gilberti,Sphyrna gilberti,Carolina hammerhead,1,1,Sph. gilberti
8708040000,160529,Triakidae spp.,Triakidae spp.,hound sharks,0,0,Triakidae spp.
8708040200,160226,Mustelus spp.,Mustelus spp.,hound sharks,1,0,Mustelus spp.
8708040201,160230,Mus. canis,Mustelus canis,Smooth Dogfish,1,0,M. canis
8708040203,160234,Mus. norrisi,Mustelus norrisi,Florida Smoothhound,1,0,M. norrisi
8708040222,621134,Mus. sinusmexicanus,Mustelus sinusmexicanus,Gulf Smoothhound,1,1,Mustelus sinusmexicanus
8708090000,999999,Pentanchidae spp.,Pentanchidae spp.,deepwater cat sharks,1,1,Pentanchidae spp.
8708090001,160030,Gal. arae,Galeus arae,Marbled Cat Shark,1,0,G. arae
8708090100,160029,Galeus spp.,Galeus spp.,cat sharks,1,0,Galeus spp.
8710010000,160604,Squalidae spp.,Squalidae spp.,dogfish sharks,0,0,Squalidae spp.
8710010200,160616,Squalus spp.,Squalus spp.,dogfish sharks,0,0,Squalus spp.
8710010201,160617,Squ. acanthias,Squalus acanthias,Spiny Dogfish,0,0,S. acanthias
8710010203,160623,Squ. cubensis,Squalus cubensis,Cuban Dogfish,0,0,S. cubensis
8710010211,999997,Squ. clarkae,Squalus clarkae,Gulf Dogfish,1,1,Squ. mitsukurii
8710010300,160632,Centrophorus spp.,Centrophorus spp.,gulper sharks,0,0,Centrophorus spp.
8710010301,160633,Cen. granulosus,Centrophorus granulosus,Gulper Shark,0,0,C. granulosus
8710010303,160637,Cen. uyato,Centrophorus uyato,Little Gulper Shark,0,0,C. uyato
8710010400,189392,Dalatias spp.,Dalatias spp.,kitefin sharks,0,0,Dalatias spp.
8710010401,160651,Dal. licha,Dalatias licha,Kitefin Shark,0,0,D. licha
8710010500,160655,Etmopterus spp.,Etmopterus spp.,lantern sharks,0,0,Etmopterus spp.
8710010506,160664,Etm. virens,Etmopterus virens,Green Lantern Shark,0,0,E. virens
8710010509,160669,Etm. gracilispinis,Etmopterus gracilispinis,Broadband Lantern Shark,0,0,E. gracilispinis
8710010600,160682,Isistius spp.,Isistius spp.,cookiecutter sharks,0,0,Isistius spp.
8710010601,160683,Isi. brasiliensis,Isistius brasiliensis,Cookiecutter Shark,0,0,I. brasiliensis
8710010700,160688,Oxynotus spp.,Oxynotus spp.,rough sharks,0,0,Oxynotus spp.
8710010701,160689,Oxy. caribbaeus,Oxynotus caribbaeus,Caribbean roughshark,0,0,O. caribbaeus
8710010900,160702,Centroscyllium spp.,Centroscyllium spp.,lantern sharks,0,0,Centroscyllium spp.
8710010901,160703,Cen. fabricii,Centroscyllium fabricii,Combtooth Dogfish,0,0,C. fabricii
8710011200,160723,Centroscymnus spp.,Centroscymnus spp.,sleeper sharks,0,0,Centroscymnus spp.
8710011201,160724,Cen. coelolepis,Centroscymnus coelolepis,Portugese Shark,0,0,C. coelolepis
8710011900,160765,Cirrhigaleus spp.,Cirrhigaleus spp.,dogfish sharks,0,0,Cirrhigaleus spp.
8710011902,621033,Cir. asper,Cirrhigaleus asper,Roughskin Dogfish,1,0,Cirrhigaleus asper
8710030000,203356,Echinorhinidae spp.,Echinorhinidae spp.,Bramble Sharks,0,0,Echinorhinidae spp.
8710030100,160712,Echinorhinus spp.,Echinorhinus spp.,bramble sharks,0,0,Echinorhinus spp.
8710030101,160713,Ech. brucus,Echinorhinus brucus,Bramble Shark,0,0,E. brucus
8710040000,564005,Centrophoridae spp.,Centrophoridae spp.,Gulper Sharks,1,0,Centrophoridae spp.
8710050000,564004,Dalatiidae spp.,Dalatiidae spp.,kitefin sharks,1,0,Dalatiidae spp.
